"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Jan-2022","EQ","3,877.85","3,977.00","3,860.05","3,897.90","3,965.35","3,968.15","3,924.25","3,989.90","2,880.00",3348123,"13,138,881,273.10",213960
"13-Jan-2022","EQ","3,918.00","3,923.00","3,857.00","3,859.90","3,898.00","3,897.90","3,891.72","3,989.90","2,880.00",6684507,"26,014,258,279.50",401435
"12-Jan-2022","EQ","3,925.00","3,929.00","3,836.55","3,915.90","3,857.00","3,859.90","3,874.16","3,989.90","2,880.00",3203744,"12,411,815,990.80",241232
"11-Jan-2022","EQ","3,856.00","3,925.00","3,856.00","3,879.85","3,917.00","3,915.90","3,896.96","3,989.90","2,880.00",1906106,"7,428,014,700.35",160870
"10-Jan-2022","EQ","3,978.00","3,978.00","3,861.00","3,853.50","3,884.00","3,879.85","3,897.84","3,989.90","2,880.00",3937092,"15,346,166,149.80",247085
"07-Jan-2022","EQ","3,820.00","3,864.90","3,796.40","3,807.45","3,858.90","3,853.50","3,839.03","3,989.90","2,880.00",2460591,"9,446,283,701.75",157006
"06-Jan-2022","EQ","3,812.00","3,835.00","3,772.00","3,860.95","3,809.95","3,807.45","3,802.98","3,989.90","2,880.00",1810293,"6,884,500,149.55",135529
"05-Jan-2022","EQ","3,865.00","3,870.00","3,812.40","3,884.75","3,856.00","3,860.95","3,847.67","3,989.90","2,880.00",1733031,"6,668,131,688.00",136018
"04-Jan-2022","EQ","3,831.10","3,889.15","3,811.70","3,817.75","3,878.70","3,884.75","3,859.30","3,989.90","2,880.00",2488606,"9,604,274,014.30",141253
"03-Jan-2022","EQ","3,750.00","3,830.00","3,745.00","3,738.35","3,815.00","3,817.75","3,807.43","3,989.90","2,880.00",2346158,"8,932,827,981.15",143798
"31-Dec-2021","EQ","3,742.80","3,760.00","3,731.30","3,733.75","3,740.00","3,738.35","3,744.51","3,989.90","2,845.00",1207141,"4,520,149,056.45",101227
"30-Dec-2021","EQ","3,681.35","3,740.00","3,680.00","3,694.70","3,737.00","3,733.75","3,725.52","3,989.90","2,845.00",1966475,"7,326,133,567.90",105274
"29-Dec-2021","EQ","3,692.25","3,719.95","3,685.00","3,706.55","3,688.05","3,694.70","3,704.90","3,989.90","2,845.00",1456923,"5,397,758,672.00",94120
"28-Dec-2021","EQ","3,710.00","3,725.00","3,693.85","3,696.10","3,706.95","3,706.55","3,713.05","3,989.90","2,845.00",1456218,"5,407,012,571.25",83968
"27-Dec-2021","EQ","3,671.00","3,700.00","3,653.10","3,670.90","3,696.50","3,696.10","3,684.66","3,989.90","2,845.00",1534135,"5,652,764,172.30",80828
"24-Dec-2021","EQ","3,685.00","3,705.00","3,644.80","3,662.70","3,671.00","3,670.90","3,673.31","3,989.90","2,785.00",2209923,"8,117,727,561.70",88664
"23-Dec-2021","EQ","3,648.00","3,670.50","3,630.00","3,630.75","3,660.65","3,662.70","3,656.52","3,989.90","2,785.00",1792861,"6,555,623,174.05",98445
"22-Dec-2021","EQ","3,624.00","3,636.80","3,606.25","3,608.30","3,628.30","3,630.75","3,625.84","3,989.90","2,785.00",1224328,"4,439,223,316.50",102255
"21-Dec-2021","EQ","3,582.65","3,641.20","3,566.40","3,556.90","3,611.00","3,608.30","3,617.22","3,989.90","2,785.00",2340989,"8,467,877,601.90",118423
"20-Dec-2021","EQ","3,589.00","3,606.00","3,510.15","3,584.35","3,559.30","3,556.90","3,569.27","3,989.90","2,785.00",2312310,"8,253,261,975.10",146094
"17-Dec-2021","EQ","3,602.50","3,651.35","3,573.70","3,581.60","3,574.90","3,584.35","3,608.90","3,989.90","2,755.00",4333992,"15,640,958,964.15",213460
"16-Dec-2021","EQ","3,582.00","3,608.45","3,570.00","3,570.35","3,585.00","3,581.60","3,582.96","3,989.90","2,755.00",2072320,"7,425,032,318.85",93950
"15-Dec-2021","EQ","3,620.00","3,623.00","3,558.15","3,623.80","3,571.00","3,570.35","3,575.02","3,989.90","2,755.00",1603233,"5,731,595,939.60",109534
"14-Dec-2021","EQ","3,605.00","3,635.00","3,576.70","3,609.65","3,619.95","3,623.80","3,618.04","3,989.90","2,755.00",1747007,"6,320,734,400.10",105436
"13-Dec-2021","EQ","3,650.00","3,662.00","3,601.70","3,636.80","3,615.00","3,609.65","3,626.62","3,989.90","2,755.00",1883864,"6,832,065,637.60",93875
